らち	ɾ a̠ t͡ɕ i
でんぱ	d ẽ̞ m p a̠
くきょう	k ɯ̟ᵝ kʲ o̞ː
コートジボワール	k o̞ː t o̞ ʑ i b o̞ ɰᵝ a̠ː ɾ ɯ̟ᵝ
もともこもない	m o̞ t o̞ m o̞ k o̞ m o̞ n a̠ i
ろそう	ɾ o̞ s o̞ː
トルク	t o̞ ɾ ɯ̟ᵝ k ɯ̟ᵝ
てをきる	t e̞ o̞ kʲ i ɾ ɯ̟ᵝ
くびきり	k ɯ̟ᵝ bʲ i kʲ i ɾʲ i
ガビアル	ɡ a̠ bʲ i a̠ ɾ ɯ̟ᵝ
バースデー	b a̠ː s ɨᵝ d e̞ː
はくせい	h a̠ k ɯ̟̊ᵝ s e̞ː
よつかど	j o̞ t͡s ɨᵝ k a̠ d o̞
いんらん	ĩ n ɾ ã̠ ɴ
モルホリン	m o̞ ɾ ɯ̟ᵝ h o̞ ɾʲ ĩ ɴ
ごぜん	ɡ o̞ z ẽ̞ ɴ
いぶかしい	i b ɯ̟ᵝ k a̠ ɕ i i
スローロリス	s ɨᵝ ɾ o̞ː ɾ o̞ ɾʲ i s ɨᵝ
ないし	n a̠ i ɕ i
どうせ	d o̞ː s e̞
ドナルド	d o̞ n a̠ ɾ ɯ̟ᵝ d o̞
メルアド	m e̞ ɾ ɯ̟ᵝ a̠ d o̞
どうしん	d o̞ː ɕ ĩ ɴ
だいよんき	d a̠ i
しょうよ	ɕ o̞ː j o̞
ふた	ɸ ɯ̟ᵝ t a̠
ユーゴスラビア	j ɯ̟ᵝː ɡ o̞ s ɨᵝ ɾ a̠ bʲ i a̠
しゅと	ɕ ɨᵝ t o̞
さくねん	s a̠ k ɯ̟ᵝ n ẽ̞ ɴ
すえる	s ɨᵝ e̞ ɾ ɯ̟ᵝ
げんまいちゃ	ɡ ẽ̞ mː a̠ i t͡ɕ a̠
プリント	p ɯ̟ᵝ ɾʲ ĩ n t o̞
ざこつしんけい	d͡z a̠ k o̞ t͡s ɨᵝ ɕ ĩ ŋ k e̞ː
じしゅく	d͡ʑ i ɕ ɨᵝ k ɯ̟ᵝ
たいふう	t a̠ i ɸ ɯ̟ᵝː
コセカント	k o̞ s e̞ k ã̠ n t o̞
ランタン	ɾ ã̠ n t ã̠ ɴ
このましい	k o̞ n o̞ m a̠ ɕ iː
かいびょう	k a̠ i bʲ o̞ː
のがれ	n o̞ ɡ a̠ ɾ e̞
あつ	a̠ t͡s ɨᵝ
くもざる	k ɯ̟ᵝ m o̞ z a̠ ɾ ɯ̟ᵝ
はつびょう	h a̠ t͡s ɨᵝ bʲ o̞ː
ざるほう	d͡z a̠ ɾ ɯ̟ᵝ h o̞ː
うりわたす	ɯ̟ᵝ ɾʲ i ɰᵝ a̠ t a̠ s ɨᵝ
かいじゅう	k a̠ i ʑ ɨᵝː
かいけいし	k a̠ i k e̞ː ɕ i
はっけよい	h a̠ k̚ k e̞ j o̞ i
きょうごう	kʲ o̞ː ɡ o̞ː
かたは	k a̠ t a̠ h a̠
かくせいき	k a̠ k ɯ̟ᵝ s e̞ː kʲ i
チップ	t͡ɕ i p̚ p ɯ̟ᵝ
ジープ	d͡ʑ iː p ɯ̟ᵝ
めんしき	m ẽ̞ ɰ̃ ɕ i kʲ i
あげぽよ	a̠ ɡ e̞ p o̞ j o̞
フレーズ	ɸ ɯ̟ᵝ ɾ e̞ː z ɨᵝ
ゆうのう	j ɯ̟ᵝː n o̞ː
めっき	m e̞ k̚ʲ kʲ i
きょうちょう	kʲ o̞ː t͡ɕ o̞ː
あまのがわ	a̠ m a̠ n o̞ ɡ a̠ ɰᵝ a̠
ちょうにん	t͡ɕ o̞ː ɲ̟ ĩ ɴ
めめしい	m e̞ m e̞ ɕ iː
かいべん	k a̠ i b ẽ̞ ɴ
けいじ	k e̞ː ʑ i
イラン	i ɾ ã̠ ɴ
すえっこ	s ɨᵝ e̞ k̚ k o̞
チューリップ	t͡ɕ ɨᵝː ɾʲ i p̚ p ɯ̟ᵝ
どっちもどっちろん	d o̞ t̚ t͡ɕ i m o̞ d o̞ t̚ t͡ɕ i ɾ õ̞ ɴ
ちんじゅ	t͡ɕ ĩ ɲ̟ d͡ʑ ɨᵝ
だんしりょう	d ã̠ ɰ̃ ɕ i ɾʲ o̞ː
ねぶる	n e̞ b ɯ̟ᵝ ɾ ɯ̟ᵝ
すいそか	s ɨᵝ i s o̞ k a̠
レディース	ɾ e̞ dʲ iː s ɨᵝ
じょうとうしゅだん	d͡ʑ o̞ː t o̞ː ɕ ɨᵝ d ã̠ ɴ
インテリアデザイン	ĩ n t e̞ ɾʲ i a̠ d e̞ z a̠ ĩ ɴ
ものぐさ	m o̞ n o̞ ɡ ɯ̟ᵝ s a̠
アイスコーヒー	a̠ i s ɨᵝ k o̞ː ç iː
ももか	m o̞ m o̞ k a̠
きがゆるむ	kʲ i ɡ a̠ j ɯ̟ᵝ ɾ ɯ̟ᵝ m ɯ̟ᵝ
ふっこく	ɸ ɯ̟ᵝ k̚ k o̞ k ɯ̟ᵝ
こくていこうえん	k o̞ k ɯ̟ᵝ t e̞ː k o̞ː ẽ̞ ɴ
じすべり	d͡ʑ i s ɨᵝ b e̞ ɾʲ i
しっけ	ɕ i k̚ k e̞
せんどうおおくしてふねやまにのぼる	s ẽ̞ n d o̞ː o̞ː k ɯ̟ᵝ ɕ i t e̞ ɸ ɯ̟ᵝ n e̞ j a̠ m a̠ ɲ̟ i n o̞ b o̞ ɾ ɯ̟ᵝ
すいこみ	s ɨᵝ i k o̞ mʲ i
にじかい	ɲ̟ i ʑ i k a̠ i
こひつじ	k o̞ ç i̥ t͡s ɨᵝ ʑ i
ローブモンタント	ɾ o̞ː b ɯ̟ᵝ m õ̞ n t ã̠ n t o̞
らんぱつ	ɾ ã̠ m p a̠ t͡s ɨᵝ
げんざいじせい	ɡ ẽ̞ n d͡z a̠ i d͡ʑ i s e̞ː
さみだれ	s a̠ mʲ i d a̠ ɾ e̞
なかのひと	n a̠ k a̠ n o̞ ç i t o̞
イブ	i b ɯ̟ᵝ
せつめい	s e̞ t͡s ɨᵝ m e̞ː
えま	e̞ m a̠
はっとうしん	h a̠ t̚ t o̞ː ɕ ĩ ɴ
かいじん	k a̠ i ʑ ĩ ɴ
すいさん	s ɨᵝ i s ã̠ ɴ
ようとん	j o̞ː t õ̞ ɴ
げいじゅつ	ɡ e̞ː ʑ ɨᵝ t͡s ɨᵝ
ちがえる	t͡ɕ i ɡ a̠ e̞ ɾ ɯ̟ᵝ
めいげん	m e̞ː ɡ ẽ̞ ɴ
ぎゅうどん	ɡʲ ɨᵝː d õ̞ ɴ
キャンピング	kʲ ã̠ m pʲ ĩ ŋ ɡ ɯ̟ᵝ
じゅうき	d͡ʑ ɨᵝː kʲ i
ラマ	ɾ a̠ m a̠
テスラコイル	t e̞ s ɨᵝ ɾ a̠ k o̞ i ɾ ɯ̟ᵝ
むこくせき	m ɯ̟ᵝ k o̞ k ɯ̟ᵝ s e̞ kʲ i
ちょっかくさんかくけい	t͡ɕ o̞ k̚ k a̠ k ɯ̟ᵝ ̥ s ã̠ ŋ k a̠ k ɯ̟̊ᵝ k e̞ː
わきあがる	ɰᵝ a̠ kʲ i a̠ ɡ a̠ ɾ ɯ̟ᵝ
なりわい	n a̠ ɾʲ i ɰᵝ a̠ i
タックス	t a̠ k̚ k ɯ̟ᵝ s ɨᵝ
きせん	kʲ i s ẽ̞ ɴ
ひでまさ	ç i d e̞ m a̠ s a̠
シューズ	ɕ ɨᵝː z ɨᵝ
ロシアンブルー	ɾ o̞ ɕ i ã̠ m b ɯ̟ᵝ ɾ ɯ̟ᵝː
ため	t a̠ m e̞
かんかつ	k ã̠ ŋ k a̠ t͡s ɨᵝ
さんじゅつえんざん	s ã̠ ɲ̟ d͡ʑ ɨᵝ t͡s ɨᵝ ẽ̞ n d͡z ã̠ ɴ
はくがい	h a̠ k ɯ̟ᵝ ɡ a̠ i
オートミール	o̞ː t o̞ mʲ iː ɾ ɯ̟ᵝ
きぶん	kʲ i b ɯ̟̃ᵝ ɴ
ひらめく	ç i ɾ a̠ m e̞ k ɯ̟ᵝ
まさはる	m a̠ s a̠ h a̠ ɾ ɯ̟ᵝ
きっちり	kʲ i̥ t̚ t͡ɕ i ɾʲ i
ケ	k e̞
ようがん	j o̞ː ɡ ã̠ ɴ
わんりょく	ɰᵝ ã̠ n ɾʲ o̞ k ɯ̟ᵝ
エアコンプレッサー	e̞ a̠ k õ̞ m p ɯ̟ᵝ ɾ e̞ sː a̠ː
よげん	j o̞ ɡ ẽ̞ ɴ
パンフ	p ã̠ ɰ̃ ɸ ɯ̟ᵝ
しょくみんち	ɕ o̞ k ɯ̟ᵝ mʲ ĩ ɲ̟ t͡ɕ i
アイフォーン	a̠ i ɸ õ̞ː ɴ
いちをきいてじゅうをしる	i t͡ɕ i o̞ kʲ iː t e̞ d͡ʑ ɨᵝː o̞ ɕ i ɾ ɯ̟ᵝ
スイーツ	s ɨᵝ iː t͡s ɨᵝ
さぎし	s a̠ ɡʲ i ɕ i
せんてい	s ẽ̞ n t e̞ː
りくしょう	ɾʲ i k ɯ̟̊ᵝ ɕ o̞ː
ぼこ	b o̞ k o̞
あまみ	a̠ m a̠ mʲ i
ゆうびんばこ	j ɯ̟ᵝː bʲ ĩ m b a̠ k o̞
めざめる	m e̞ z a̠ m e̞ ɾ ɯ̟ᵝ
とういん	t o̞ː ĩ ɴ
もちざお	m o̞ t͡ɕ i z a̠ o̞
マールス	m a̠ː ɾ ɯ̟ᵝ s ɨᵝ
しゃちょう	ɕ a̠ t͡ɕ o̞ː
きかいこうがく	kʲ i k a̠ i k o̞ː ɡ a̠ k ɯ̟ᵝ
だんくん	d ã̠ ŋ k ɯ̟̃ᵝ ɴ
ひばく	ç i b a̠ k ɯ̟ᵝ
パスワード	p a̠ s ɨᵝ ɰᵝ a̠ː d o̞
れいみん	ɾ e̞ː mʲ ĩ ɴ
キャッチフレーズ	kʲ a̠ t̚ t͡ɕ i ɸ ɯ̟ᵝ ɾ e̞ː z ɨᵝ
つめたいせんそう	t͡s ɨᵝ m e̞ t a̠ i s ẽ̞ ɰ̃ s o̞ː
きさい	kʲ i s a̠ i
こいん	k o̞ ĩ ɴ
とうあん	t o̞ː ã̠ ɴ
かっこ	k a̠ k̚ k o̞
ていしょとくしゃ	t e̞ː ɕ o̞ t o̞ k ɯ̟ᵝ s o̞ː
あとがき	a̠ t o̞ ɡ a̠ kʲ i
こてんこだい	k o̞ t ẽ̞ ŋ k o̞ d a̠ i
ウィキペディアン	ɰᵝ i kʲ i p e̞ dʲ i ã̠ ɴ
ようそう	j o̞ː s o̞ː
シート	ɕ iː t o̞
ほはば	h o̞ h a̠ b a̠
ターディオン	t a̠ː dʲ i õ̞ ɴ
やく	j a̠ k ɯ̟ᵝ
ナイトスタンド	n a̠ i t o̞ s ɨᵝ t ã̠ n d o̞
まいあがる	m a̠ i a̠ ɡ a̠ ɾ ɯ̟ᵝ
ちくわ	t͡ɕ i k ɯ̟ᵝ ɰᵝ a̠
くちぐせ	k ɯ̟ᵝ t͡ɕ i ɡ ɯ̟ᵝ s e̞
あめんぼう	a̠ m ẽ̞ m b o̞ː
しょくがん	ɕ o̞ k ɯ̟ᵝ ɡ ã̠ ɴ
マネー	m a̠ n e̞ː
かちょうふうげつ	k a̠ t͡ɕ o̞ː ɸ ɯ̟ᵝː ɡ e̞ t͡s ɨᵝ
がくそく	ɡ a̠ k ɯ̟ᵝ s o̞ k ɯ̟ᵝ
めいゆう	m e̞ː j ɯ̟ᵝː
ジェットコースター	d͡ʑ e̞ t̚ t o̞ k o̞ː s ɨ̥ᵝ t a̠ː
きりひらく	kʲ i ɾʲ i ç i ɾ a̠ k ɯ̟ᵝ
フランボワーズ	ɸ ɯ̟ᵝ ɾ ã̠ m b o̞ ɰᵝ a̠ː z ɨᵝ
いかけし	i k a̠ k e̞ ɕ i
ぎょうぎ	ɡʲ o̞ː ɡʲ i
せいり	s e̞ː ɾʲ i
やざ	j a̠ z a̠
スッポンモドキ	s ɨᵝ p̚ p õ̞ mː o̞ d o̞ kʲ i
かしわもち	k a̠ ɕ i ɰᵝ a̠ m o̞ t͡ɕ i
アフラ・マズダー	a̠ ɸ ɯ̟ᵝ ɾ a̠ m a̠ z ɨᵝ d a̠ː
かじば	k a̠ ʑ i b a̠
にいちゃん	ɲ̟ iː t͡ɕ ã̠ ɴ
フルクトース	ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ k ɯ̟̊ᵝ t o̞ː s ɨᵝ
こがき	k o̞ ɡ a̠ kʲ i
たいいん	t a̠ i ĩ ɴ
こまおくり	k o̞ m a̠ o̞ k ɯ̟ᵝ ɾʲ i
ベースボール	b e̞ː s ɨᵝ b o̞ː ɾ ɯ̟ᵝ
くちはてる	k ɯ̟ᵝ t͡ɕ i h a̠ t e̞ ɾ ɯ̟ᵝ
えっきょうにゅうがく	e̞ k̚ʲ kʲ o̞ː ɲ̟ ɯ̟ᵝː ɡ a̠ k ɯ̟ᵝ
わりびく	ɰᵝ a̠ ɾʲ i bʲ i k ɯ̟ᵝ
まんぼう	m ã̠ m b o̞ː
ぶしょう	b ɯ̟ᵝ ɕ o̞ː
きほんてき	kʲ i h õ̞ n t e̞ kʲ i
オベリスク	o̞ b e̞ ɾʲ i s ɨ̥ᵝ k ɯ̟ᵝ
サッフィズム	s a̠ ɸʲː i z ɨᵝ m ɯ̟ᵝ
からすうり	k a̠ ɾ a̠ s ɨᵝ ɯ̟ᵝ ɾʲ i
タイトル	t a̠ i t o̞ ɾ ɯ̟ᵝ
グラフィックデザイン	ɡ ɯ̟ᵝ ɾ a̠ ɸʲ i k̚ k ɯ̟ᵝ d e̞ z a̠ ĩ ɴ
おおさかふ	o̞ː s a̠ k a̠ ɸ ɯ̟ᵝ
たまぐし	t a̠ m a̠ ɡ ɯ̟ᵝ ɕ i
おわる	o̞ ɰᵝ a̠ ɾ ɯ̟ᵝ
みしり	mʲ i ɕ i ɾʲ i
いっさんかにちっそ	i sː ã̠ ŋ k a̠ ɲ̟ i t͡ɕ i sː o̞
ちゃかす	t͡ɕ a̠ k a̠ s ɨᵝ
リハビリテーション	ɾʲ i h a̠ bʲ i ɾʲ i t e̞ː ɕ õ̞ ɴ
なな	n a̠ n a̠
れきせい	ɾ e̞ kʲ i̥ s e̞ː
よみきる	j o̞ mʲ i kʲ i ɾ ɯ̟ᵝ
しきそくぜくう	ɕ i kʲ i s o̞ k ɯ̟ᵝ d͡z e̞ k ɯ̟ᵝː
めんだん	m ẽ̞ n d ã̠ ɴ
ろんぱ	ɾ õ̞ m p a̠
えんそうかい	ẽ̞ ɰ̃ s o̞ː k a̠ i
きょうとう	kʲ o̞ː t o̞ː
しまばら	ɕ i m a̠ b a̠ ɾ a̠
けいさつかん	k e̞ː s a̠ t͡s ɨᵝ k ã̠ ɴ
かもつ	k a̠ m o̞ t͡s ɨᵝ
ドラッグ・アンド・ドロップ	d o̞ ɾ a̠ ɡ̚ ɡ̊ ɯ̟ᵝ ã̠ n d o̞ d o̞ ɾ o̞ p̚ p ɯ̟ᵝ
びおん	bʲ i õ̞ ɴ
ひげんすう	ç i ɡ ẽ̞ ɰ̃ s ɨᵝː
たくす	t a̠ k ɯ̟ᵝ s ɨᵝ
ゆるやか	j ɯ̟ᵝ ɾ ɯ̟ᵝ j a̠ k a̠
つきかげ	t͡s ɨ̥ᵝ kʲ i k a̠ ɡ e̞
しつぎょう	ɕ i t͡s ɨᵝ ɡʲ o̞ː
ちょうなん	t͡ɕ o̞ː n ã̠ ɴ
せいぜんせつ	s e̞ː z ẽ̞ ɰ̃ s e̞ t͡s ɨᵝ
さんこうごてい	s ã̠ ŋ k o̞ː ɡ o̞ t e̞ː
えぼし	e̞ b o̞ ɕ i
りゅうし	ɾʲ ɨᵝː ɕ i
こせい	k o̞ s e̞ː
ひゅうがのくに	ç ɨᵝː ɡ a̠ n o̞ k ɯ̟ᵝ ɲ̟ i
えぐい	e̞ ɡ ɯ̟ᵝ i
おくびょうもの	o̞ k ɯ̟ᵝ bʲ o̞ː m o̞ n o̞
スウェットスーツ	s ɨᵝ ɰᵝ e̞ t̚ t o̞ s ɨᵝː t͡s ɨᵝ
はたはた	h a̠ t a̠ h a̠ t a̠
かぎろい	k a̠ ɡʲ i ɾ o̞ i
もくば	m o̞ k ɯ̟ᵝ b a̠
ちびる	t͡ɕ i bʲ i ɾ ɯ̟ᵝ
ほんしょく	h õ̞ ɰ̃ ɕ o̞ k ɯ̟ᵝ
しょご	ɕ o̞ ɡ o̞
ビデオゲーム	bʲ i d e̞ o̞ ɡ e̞ː m ɯ̟ᵝ
みぞれ	mʲ i z o̞ ɾ e̞
クッキー	k ɯ̟̊ᵝ k̚ʲ kʲ iː
ルビー	ɾ ɯ̟ᵝ bʲ iː
ドーム	d o̞ː m ɯ̟ᵝ
バンギャル	b ã̠ ŋʲ ɡʲ a̠ ɾ ɯ̟ᵝ
ほんじ	h õ̞ ɲ̟ d͡ʑ i
そぼふる	s o̞ b o̞ ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ
よし	j o̞ ɕ i
ごじょう	ɡ o̞ ʑ o̞ː
けいど	k e̞ː d o̞
たてる	t a̠ t e̞ ɾ ɯ̟ᵝ
じゅじょうとっき	d͡ʑ ɨᵝ ʑ o̞ː t o̞ k̚ʲ kʲ i
ゆわえつける	j ɯ̟ᵝ ɰᵝ a̠ e̞ t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ
とうめいせい	t o̞ː m e̞ː s e̞ː
しぜんげんごしょり	ɕ i z ẽ̞ ŋ ɡ ẽ̞ ŋ ɡ o̞ ɕ o̞ ɾʲ i
どうけ	d o̞ː k e̞
じょすう	d͡ʑ o̞ s ɨᵝː
にがい	ɲ̟ i ɡ a̠ i
にじゅうごにち	ɲ̟ i ʑ ɨᵝː ɡ o̞ ɲ̟ i t͡ɕ i
してき	ɕ i t e̞ kʲ i
さいたま	s a̠ i t a̠ m a̠
ビタミンエム	bʲ i t a̠ mʲ ĩ ɰ̃ e̞ m ɯ̟ᵝ
ブレーカー	b ɯ̟ᵝ ɾ e̞ː k a̠ː
きだて	kʲ i d a̠ t e̞
ざくろいし	d͡z a̠ k ɯ̟ᵝ ɾ o̞ i ɕ i
らいかん	ɾ a̠ i k ã̠ ɴ
かぎっこ	k a̠ ɡʲ i k̚ k o̞
もちきり	m o̞ t͡ɕ i kʲ i ɾʲ i
めんたい	m ẽ̞ n t a̠ i
すべりだい	s ɨᵝ b e̞ ɾʲ i d a̠ i
くうそう	k ɯ̟ᵝː s o̞ː
ダイア	d a̠ i a̠
ざいあく	d͡z a̠ i a̠ k ɯ̟ᵝ
なんもん	n ã̠ mː õ̞ ɴ
のんびり	n õ̞ m bʲ i ɾʲ i
しんせん	ɕ ĩ ɰ̃ s ẽ̞ ɴ
パイナップル	p a̠ i n a̠ p̚ p ɯ̟ᵝ ɾ ɯ̟ᵝ
たいしかん	t a̠ i ɕ i k ã̠ ɴ
きょうふ	kʲ o̞ː ɸ ɯ̟ᵝ
ほうのう	h o̞ː n o̞ː
みあい	mʲ i a̠ i
サムゲタン	s a̠ m ɯ̟ᵝ ɡ e̞ t ã̠ ɴ
ようへん	j o̞ː h ẽ̞ ɴ
ターミナル	t a̠ː mʲ i n a̠ ɾ ɯ̟ᵝ
きみつ	kʲ i mʲ i t͡s ɨᵝ
まいこ	m a̠ i k o̞
てんそ	t ẽ̞ ɰ̃ s o̞
けっこんしき	k e̞ k̚ k õ̞ ɰ̃ ɕ i kʲ i
あら	a̠ ɾ a̠
ちんちゃく	t͡ɕ ĩ ɲ̟ t͡ɕ a̠ k ɯ̟ᵝ
ぬけだす	n ɯ̟ᵝ k e̞ d a̠ s ɨᵝ
ニュースデスク	ɲ̟ ɯ̟ᵝː s ɨᵝ d e̞ s ɨᵝ k ɯ̟ᵝ
けいざい	k e̞ː z a̠ i
こやす	k o̞ j a̠ s ɨᵝ
きゅうぎ	kʲ ɨᵝː ɡʲ i
やまなし	j a̠ m a̠ n a̠ ɕ i
いさつ	i s a̠ t͡s ɨᵝ
アスキーアート	a̠ s ɨᵝ kʲ iː a̠ː t o̞
しあがり	ɕ i a̠ ɡ a̠ ɾʲ i
オーシャン	o̞ː ɕ ã̠ ɴ
ホバート	h o̞ b a̠ː t o̞
あたためる	a̠ t a̠ t a̠ m e̞ ɾ ɯ̟ᵝ
たいいくずわり	t a̠ i i k ɯ̟ᵝ z ɨᵝ ɰᵝ a̠ ɾʲ i
すばしこい	s ɨᵝ b a̠ ɕ i̥ k o̞ i
さわがしい	s a̠ ɰᵝ a̠ ɡ a̠ ɕ i i
ウグイ	ɯ̟ᵝ ɡ ɯ̟ᵝ i
がたり	ɡ a̠ t a̠ ɾʲ i
しんいり	ɕ ĩ ɰ̃ i ɾʲ i
きょしゅつ	kʲ o̞ ɕ ɨᵝ t͡s ɨᵝ
めざし	m e̞ z a̠ ɕ i
ちらかす	t͡ɕ i ɾ a̠ k a̠ s ɨᵝ
しおう	ɕ i o̞ː
マスコミ	m a̠ s ɨ̥ᵝ k o̞ mʲ i
ようばい	j o̞ː b a̠ i
ゴー	ɡ o̞ː
かいれんせき	k a̠ i ɾ ẽ̞ ɰ̃ s e̞ kʲ i
ざいりゅうほうじん	d͡z a̠ i ɾʲ ɨᵝː h o̞ː ʑ ĩ ɴ
ほしざめ	h o̞ ɕ i z a̠ m e̞
はんたいじ	h ã̠ n t a̠ i ʑ i
こくゆうか	k o̞ k ɯ̟ᵝ j ɯ̟ᵝː k a̠
ざんだか	d͡z ã̠ n d a̠ k a̠
ぶんがく	b ɯ̟̃ᵝ ŋ ɡ a̠ k ɯ̟ᵝ
ふめつ	ɸ ɯ̟ᵝ m e̞ t͡s ɨᵝ
げんざいち	ɡ ẽ̞ n d͡z a̠ i t͡ɕ i
うむ	ɯ̟ᵝ m ɯ̟ᵝ
ゴッデム	ɡ o̞ d̚ d̥ e̞ m ɯ̟ᵝ
どうぶつえん	d o̞ː b ɯ̟ᵝ t͡s ɨᵝ ẽ̞ ɴ
しょくい	ɕ o̞ k ɯ̟ᵝ i
しかえし	ɕ i k a̠ e̞ ɕ i
エアロビクス	e̞ a̠ ɾ o̞ bʲ i k ɯ̟̊ᵝ s ɨᵝ
うた	ɯ̟ᵝ t a̠
しげさと	ɕ i ɡ e̞ s a̠ t o̞
しごと	ɕ i ɡ o̞ t o̞
やぐ	j a̠ ɡ ɯ̟ᵝ
アルブミン	a̠ ɾ ɯ̟ᵝ b ɯ̟ᵝ mʲ ĩ ɴ
しょもつ	ɕ o̞ m o̞ t͡s ɨᵝ
だんせい	d ã̠ ɰ̃ s e̞ː
ミス	mʲ i s ɨᵝ
さびつく	s a̠ bʲ i t͡s ɨᵝ k ɯ̟ᵝ
しずく	ɕ i z ɨᵝ k ɯ̟ᵝ
ますい	m a̠ s ɨᵝ i
せいじにん	s e̞ː ʑ i ɲ̟ ĩ ɴ
マゼンタ	m a̠ z ẽ̞ n t a̠
いらっしゃる	i ɾ a̠ ɕː a̠ ɾ ɯ̟ᵝ
メソポタミア	m e̞ s o̞ p o̞ t a̠ mʲ i a̠
キビバイト	kʲ i bʲ i b a̠ i t o̞
みまちがえる	mʲ i m a̠ t͡ɕ i ɡ a̠ e̞ ɾ ɯ̟ᵝ
じんこ	d͡ʑ ĩ ŋ k o̞
あいまい	a̠ i m a̠ i
おまもり	o̞ m a̠ m o̞ ɾʲ i
ちゅうや	t͡ɕ ɨᵝː j a̠
どうも	d o̞ː m o̞
ぐらつく	ɡ ɯ̟ᵝ ɾ a̠ t͡s ɨᵝ k ɯ̟ᵝ
じゅんしゅう	d͡ʑ ɨ̃ᵝ ɰ̃ ɕ ɨᵝː
うるおぼえ	ɯ̟ᵝ ɾ ɯ̟ᵝ o̞ b o̞ e̞
クィ	k ɰᵝ i
しんびがん	ɕ ĩ m bʲ i ɡ ã̠ ɴ
まいそう	m a̠ i s o̞ː
かだん	k a̠ d ã̠ ɴ
そんちょう	s õ̞ ɲ̟ t͡ɕ o̞ː
つっこむ	t͡s ɨᵝ k̚ k o̞ m ɯ̟ᵝ
だいふ	d a̠ i ɸ ɯ̟ᵝ
ごさん	ɡ o̞ s ã̠ ɴ
ファルセット	ɸ a̠ ɾ ɯ̟ᵝ s e̞ t̚ t o̞
みずたまり	mʲ i z ɨᵝ t a̠ m a̠ ɾʲ i
きずつく	kʲ i z ɨᵝ t͡s ɨᵝ k ɯ̟ᵝ
せきばらい	s e̞ kʲ i b a̠ ɾ a̠ i
おおくにぬし	o̞ː k ɯ̟ᵝ ɲ̟ i n ɯ̟ᵝ ɕ i
まけ	m a̠ k e̞
クラス	k ɯ̟ᵝ ɾ a̠ s ɨᵝ
ゆげん	j ɯ̟ᵝ ɡ ẽ̞ ɴ
てい	t e̞ː
プラモデル	p ɯ̟ᵝ ɾ a̠ m o̞ d e̞ ɾ ɯ̟ᵝ
つしまやまねこ	t͡s ɨᵝ ɕ i m a̠ j a̠ m a̠ n e̞ k o̞
ひきょうえき	ç i kʲ o̞ː e̞ kʲ i
じゅうりょく	d͡ʑ ɨᵝː ɾʲ o̞ k ɯ̟ᵝ
はんばいしゃ	h ã̠ m b a̠ i ɕ a̠
よこじく	j o̞ k o̞ ʑ i k ɯ̟ᵝ
ひっすしぼうさん	ç i sː ɯ̟ᵝ ɕ i b o̞ː s ã̠ ɴ
ぶんめいかいか	b ɯ̟̃ᵝ mː e̞ː k a̠ i k a̠
こしかける	k o̞ ɕ i k a̠ k e̞ ɾ ɯ̟ᵝ
こけつ	k o̞ k e̞ t͡s ɨᵝ
せいせき	s e̞ː s e̞ kʲ i
まよいせん	m a̠ j o̞ i s ẽ̞ ɴ
なげこむ	n a̠ ɡ e̞ k o̞ m ɯ̟ᵝ
どうさ	d o̞ː s a̠
パラレル	p a̠ ɾ a̠ ɾ e̞ ɾ ɯ̟ᵝ
せわ	s e̞ ɰᵝ a̠
ちゅうかんし	t͡ɕ ɨᵝː k ã̠ ɰ̃ ɕ i
たなばた	t a̠ n a̠ b a̠ t a̠
こどくかん	k o̞ d o̞ k ɯ̟ᵝ k ã̠ ɴ
あんず	ã̠ n d͡z ɨᵝ
うずら	ɯ̟ᵝ z ɨᵝ ɾ a̠
あいちけん	a̠ i t͡ɕ i k ẽ̞ ɴ
とうごく	t o̞ː ɡ o̞ k ɯ̟ᵝ
シャゲダン	ɕ a̠ ɡ e̞ d ã̠ ɴ
せいようふう	s e̞ː j o̞ː ɸ ɯ̟ᵝː
さんぼうこうじん	s ã̠ m b o̞ː k o̞ː ʑ ĩ ɴ
ぎょぐん	ɡʲ o̞ ɡ ɯ̟̃ᵝ ɴ
いちもくりょうぜん	i t͡ɕ i m o̞ k ɯ̟ᵝ ɾʲ o̞ː z ẽ̞ ɴ
かのうほう	k a̠ n o̞ː h o̞ː
げんしりょくはつでんしょ	ɡ ẽ̞ ɰ̃ ɕ i ɾʲ o̞ k ɯ̟ᵝ h a̠ t͡s ɨᵝ d ẽ̞ ɰ̃ ɕ o̞
むだん	m ɯ̟ᵝ d ã̠ ɴ
すいたい	s ɨᵝ i t a̠ i
コンパイル	k õ̞ m p a̠ i ɾ ɯ̟ᵝ
ちゃくち	t͡ɕ a̠ k ɯ̟ᵝ t͡ɕ i
にっすう	ɲ̟ i sː ɯ̟ᵝː
ダイナマイト	d a̠ i n a̠ m a̠ i t o̞
げきじょう	ɡ e̞ kʲ i ʑ o̞ː
そくはつ	s o̞ k ɯ̟ᵝ h a̠ t͡s ɨᵝ
ゆき	j ɯ̟ᵝ kʲ i
つめくさ	t͡s ɨᵝ m e̞ k ɯ̟̊ᵝ s a̠
