らち	ɾ a t͡ɕ i
とぎれとぎれ	t o ɡʲ i ɾ e t o ɡʲ i ɾ e
まつひろ	m a t͡s ɨ ç i ɾ o
アラジン	a ɾ a ʑ ĩ ɴ
ぎょゆ	ɡʲ o j ɯ
きねんひん	kʲ i n ẽ ɰ ç ĩ ɴ
シフト	ɕ i ɸ ɯ t o
キュービズム	kʲ ɨ bʲ i z ɨ m ɯ
ふじょう	ɸ ɯ ʑ o
ドレスメーキング	d o ɾ e s ɨ m e kʲ ĩ ŋ ɡ ɯ
カザフスタン	k a z a ɸ ɯ s ɨ t ã ɴ
くだす	k ɯ d a s ɨ
れんあいじけん	ɾ ẽ ɰ a i ʑ i k ẽ ɴ
ようろうせき	j o ɾ o s e kʲ i
おいつく	o i t͡s ɨ k ɯ
ころも	k o ɾ o m o
ようにく	j o ɲ i k ɯ
おうふく	o ɸ ɯ k ɯ
じゅうすい	d͡ʑ ɨ s ɨ i
しょうぼうしょ	ɕ o b o ɕ o
たに	t a ɲ i
こふう	k o ɸ ɯ
じゅひ	d͡ʑ ɨ ç i
じょそうざい	d͡ʑ o s o z a i
かぞえどし	k a z o e d o ɕ i
みずから	mʲ i z ɨ k a ɾ a
レイテンシ	ɾ e t ẽ ɰ ɕ i
あみだくじ	a mʲ i d a k ɯ ʑ i
ふか	ɸ ɯ k a
かんこう	k ã ŋ k o
モーリタニア	m o ɾʲ i t a ɲ i a
しくんし	ɕ i k ɯ ɰ ɕ i
ヒーター	ç i t a
なぐる	n a ɡ ɯ ɾ ɯ
きもん	k i m o n
じゅしょう	d͡ʑ ɨ ɕ o
はんぷ	h ã m p ɯ
ピー	pʲ i
つだみ	t͡s ɨ d a mʲ i
がんしゃ	ɡ ã ɰ ɕ a
いつつ	i t͡s ɨ t͡s ɨ
おしえる	o ɕ i e ɾ ɯ
くりかえし	k ɯ ɾʲ i k a e ɕ i
さつばつ	s a t͡s ɨ b a t͡s ɨ
じょうたいか	d͡ʑ o t a i k a
おおざっぱ	o z a p̚ p a
パーレン	p a ɾ ẽ ɴ
たがる	t a ɡ a ɾ ɯ
ほうじゅう	h o ʑ ɨ
ろうばい	ɾ o b a i
まくなぎ	m a k ɯ n a ɡʲ i
しれいかん	ɕ i ɾ e k ã ɴ
しょくみんちしゅぎ	ɕ o k ɯ mʲ ĩ ɲ t͡ɕ i  ɕ ɨ ɡʲ i
サスペンス	s a s ɨ p ẽ ɰ s ɨ
ともき	t o m o kʲ i
ジェンダーフリー	d͡ʑ ẽ n d a ɸ ɯ ɾʲ i
よつがな	j o t͡s ɨ ɡ a n a
おとぎばなし	o t o ɡʲ i b a n a ɕ i
すげ	s ɨ ɡ e
ほくぎ	h o k ɯ ɡʲ i
ふくむ	ɸ ɯ k ɯ m ɯ
ぎょうれつ	ɡʲ o ɾ e t͡s ɨ
どどいつ	d o d o i t͡s ɨ
ぴょ	pʲ o
めで	m e d e
スループ	s ɨ ɾ ɯ p ɯ
かいぐん	k a i ɡ ɯ ɴ
ビンタ	bʲ ĩ n t a
じゅうじか	d͡ʑ ɨ ʑ i k a
グラノーラ	ɡ ɯ ɾ a n o ɾ a
はっかく	h a k̚ k a k ɯ
はなごよみ	h a n a ɡ o j o mʲ i
サックス	s a k̚ k ɯ s ɨ
さかみち	s a k a mʲ i t͡ɕ i
にゅうたい	ɲ ɯ t a i
いつしか	i t͡s ɨ ɕ i k a
からだき	k a ɾ a d a kʲ i
はぐき	h a ɡ ɯ kʲ i
にくしょく	ɲ i k ɯ ɕ o k ɯ
うたってみた	ɯ t a t̚ t e mʲ i t a
よちょう	j o t͡ɕ o
だいどうしょうにん	d a i d o ɕ o ɲ ĩ ɴ
ちどり	t͡ɕ i d o ɾʲ i
こっき	k o k̚ʲ kʲ i
ドラム	d o ɾ a m ɯ
ギリシャ	ɡʲ i ɾʲ i ɕ a
きえはてる	kʲ i e h a t e ɾ ɯ
うきくさ	ɯ kʲ i k ɯ s a
ようせつ	j o s e t͡s u͍
にごす	ɲ i ɡ o s ɨ
あねうえ	a n e ɯ e
きてき	kʲ i t e kʲ i
えんしゅう	ẽ ɰ ɕ ɨ
しゅんげん	ɕ ɨ ŋ ɡ ẽ ɴ
とりこむ	t o ɾʲ i k o m ɯ
おなかがすいた	o n a k a ɡ a s ɨ i t a
ほうしゅう	h o ɕ ɨ
リチャード	ɾʲ i t͡ɕ a d o
しょうや	ɕ o j a
えいみん	e mʲ ĩ ɴ
ぼこくご	b o k o k ɯ ɡ o
げんさん	ɡ ẽ ɰ s ã ɴ
スケーラビリティー	s ɨ k e ɾ a bʲ i ɾʲ i tʲ i
ぐげんか	ɡ ɯ ɡ ẽ ŋ k a
すぐに	s ɨ ɡ ɯ ɲ i
はだか	h a d a k a
よさめ	j o s a m e
ク	k ɯ
ミュージック	mʲ ɨ ʑ i k̚ k ɯ
ちょうけし	t͡ɕ o k e ɕ i
さとり	s a t o ɾʲ i
なんしんろん	n ã ɰ ɕ ĩ n ɾ õ ɴ
しゃくごう	ɕ a k ɯ ɡ o
はいせき	h a i s e kʲ i
マリオネット	m a ɾʲ i o n e t̚ t o
やまおとこ	j a m a o t o k o
あした	a ɕ i t a
みやびやか	mʲ i j a bʲ i j a k a
ぎょふ	ɡʲ o ɸ ɯ
はえとりぐさ	h a e t o ɾʲ i s o
とばし	t o b a ɕ i
なまみず	n a m a mʲ i z ɨ
はつこい	h a t͡s ɨ k o i
くげん	k ɯ ɡ ẽ ɴ
すずむし	s ɨ z ɨ m ɯ ɕ i
すいちゅう	s ɨ i t͡ɕ ɨ
あごひげ	a ɡ o ç i ɡ e
キンセアニェーラ	kʲ ĩ ɰ s e a ɲ e ɾ a
かんせんげん	k ã ɰ s ẽ ŋ ɡ ẽ ɴ
あまおと	a m a o t o
むしる	m ɯ ɕ i ɾ ɯ
キングペンギン	kʲ ĩ ŋ ɡ ɯ p ẽ ŋʲ ɡʲ ĩ ɴ
こううん	k o ɯ ɴ
じゅんしょく	d͡ʑ ɨ ɰ ɕ o k ɯ
じゅうじせん	d͡ʑ ɨ ʑ i s ẽ ɴ
じじょ	d͡ʑ i ʑ o
ばび	b a bʲ i
のぞみ	n o z o mʲ i
かいだん	k a i d ã ɴ
よいんじょうじょう	j o ĩ ɲ d͡ʑ o ʑ o
せいかつかん	s e k a t͡s ɨ k ã ɴ
モルモット	m o ɾ ɯ m o t̚ t o
しょく	ɕ o k ɯ
ボードゲーム	b o d o ɡ e m ɯ
のせ	n o s e
まんぞくど	m ã n d͡z o k ɯ d o
なきがお	n a kʲ i ɡ a o
ちゅうかんそう	t͡ɕ ɨ k ã ɰ s o
じょうすう	d͡ʑ o s ɨ
しつがい	ɕ i t͡s ɨ ɡ a i
ならべる	n a ɾ a b e ɾ ɯ
じゅうおく	d͡ʑ ɨ o k ɯ
こんごうりん	k õ ŋ ɡ o ɾʲ ĩ ɴ
のうがく	n o ɡ a k ɯ
ひめいをあげる	ç i m e o a ɡ e ɾ ɯ
くちえ	k ɯ t͡ɕ i e
ねこにかつおぶし	n e k o ɲ i k a t͡s ɨ o b ɯ ɕ i
アクシデント	a k ɯ ɕ i d ẽ n t o
しんだいしゃ	ɕ ĩ n d a i ɕ a
せんてつ	s ẽ n t e t͡s ɨ
かぐ	k a ɡ ɯ
メリヤス	m e ɾʲ i j a s ɨ
てんきよほう	t ẽ ŋʲ kʲ i j o h o
けんきゅうかいはつ	k ẽ ŋʲ kʲ ɨ k a i h a t͡s ɨ
ほうしゃのう	h o ɕ a n o
がくい	ɡ a k ɯ i
スパダリ	s ɨ p a d a ɾʲ i
だんごう	d ã ŋ ɡ o
じゅうりょくは	d͡ʑ ɨ ɾʲ o k ɯ h a
だんがんれっしゃ	d ã ŋ ɡ ã n ɾ e ɕ a
そぶり	s o b ɯ ɾʲ i
おとてつ	o t o t e t͡s ɨ
こうつうじこ	k o t͡s ɨ d͡ʑ i k o
じゅんようせんかん	d͡ʑ ɨ ɰ j o s ẽ ŋ k ã ɴ
せいどういつせいしょうがい	s e d o i t͡s ɨ s e ɕ o ɡ a i
パンティーストッキング	p ã n tʲ i s ɨ t o k̚ʲ kʲ ĩ ŋ ɡ ɯ
さいみんりょうほう	s a i mʲ ĩ n ɾʲ o h o
おてん	o t ẽ ɴ
ほんだ	h õ n d a
るいごじてん	ɾ ɯ i ɡ o ʑ i t ẽ ɴ
めがたかい	m e ɡ a t a k a i
しなつう	ɕ i n a t͡s ɨ
さゆう	s a j ɯ
だいきゅう	d a i kʲ ɨ
じょうわんにとうきん	d͡ʑ o ɰ ã ɲ ɲ i t o kʲ ĩ ɴ
ふなくいむし	ɸ ɯ n a k ɯ i m ɯ ɕ i
みなみじゅうじざ	mʲ i n a mʲ i ʑ ɨ ʑ i z a
りょうはんてん	ɾʲ o h ã n t ẽ ɴ
ジャボ	d͡ʑ a b o
らくるい	ɾ a k ɯ ɾ ɯ i
ほんまつてんとう	h õ m a t͡s ɨ t ẽ n t o
ぶっせつ	b ɯ s e t͡s ɨ
さんぴ	s ã m pʲ i
しんぐんか	ɕ ĩ ŋ ɡ ɯ ŋ k a
こきゃく	k o kʲ a k ɯ
リモート	ɾʲ i m o t o
けむる	k e m ɯ ɾ ɯ
はけぐち	h a k e ɡ ɯ t͡ɕ i
サラダ	s a ɾ a d a
かいおうせい	k a i o s e
パイント	p a ĩ n t o
スタイ	s ɨ t a i
ブレークダンス	b ɯ ɾ e k ɯ d ã ɰ s ɨ
しゅっこう	ɕ ɨ k̚ k o
ふきだし	ɸ ɯ kʲ i d a ɕ i
ストロンチウム	s ɨ t o ɾ õ ɲ t͡ɕ i ɯ m ɯ
じょせつしゃ	d͡ʑ o s e t͡s ɨ ɕ a
じゅけいしゃ	d͡ʑ ɨ k e ɕ a
くらやみ	k ɯ ɾ a j a mʲ i
オネェ	o n e
せいはい	s e h a i
ブラックフライデー	b ɯ ɾ a k̚ k ɯ ɸ ɯ ɾ a i d e
ひつじゅひん	ç i t͡s ɨ ʑ ɨ ç ĩ ɴ
こうちし	k o t͡ɕ i ɕ i
きとんぼ	kʲ i t õ m b o
きらり	kʲ i ɾ a ɾʲ i
ゆらぐ	j ɯ ɾ a ɡ ɯ
うちあわせる	ɯ t͡ɕ i a ɰ a s e ɾ ɯ
ほうき	h o kʲ i
りがいかんけい	ɾʲ i ɡ a i k ã ŋ k e
ふつくろ	ɸ ɯ t͡s ɨ k ɯ ɾ o
かんかい	k ã ŋ k a i
オーガンジー	o ɡ ã ɲ d͡ʑ i
あつりょく	a t͡s ɨ ɾʲ o k ɯ
ろんそう	ɾ õ ɰ s o
えんたつ	ẽ n t a t͡s ɨ
しとやか	ɕ i t o j a k a
セネガル	s e n e ɡ a ɾ ɯ
ばくがとう	b a k ɯ ɡ a t o
まぢか	m a ʑ i k a
ぶらさがる	b ɯ ɾ a s a ɡ a ɾ ɯ
ぎょるいがく	ɡʲ o ɾ ɯ i ɡ a k ɯ
どろがめ	d o ɾ o ɡ a m e
だめ	d a m e
かいゆ	k a i j ɯ
さんぼう	s ã m b o
じっち	d͡ʑ i t̚ t͡ɕ i
がいむ	ɡ a i m ɯ
ゆちゃく	j ɯ t͡ɕ a k ɯ
たいかん	t a i k ã ɴ
いっきょしゅいっとうそく	i k̚ kʲ o ɕ ɨ i t̚ t o s o k ɯ
さつがい	s a t͡s ɨ ɡ a i
えぞ	e z o
クォーク	k ɰ o k ɯ
かいけん	k a i k ẽ ɴ
シーフード	ɕ i ɸ ɯ d o
はくど	h a k ɯ d o
はんだい	h ã n d a i
パンダ	p ã n d a
しんちんたいしゃ	ɕ ĩ ɲ t͡ɕ ĩ n t a i ɕ a
らば	ɾ a b a
ゆづる	j ɯ z ɨ ɾ ɯ
しゃせい	ɕ a s e
ステンレス・スティール	s ɨ t ẽ n ɾ e s ɨ s ɨ tʲ i ɾ ɯ
あかつき	a k a t͡s ɨ kʲ i
こはば	k o h a b a
むじょう	m ɯ ʑ o
ブラインド	b ɯ ɾ a ĩ n d o
コース	k o s ɨ
ひざさら	ç i z a s a ɾ a
じだいせいしん	d͡ʑ i d a i s e ɕ ĩ ɴ
めどがたつ	m e d o ɡ a t a t͡s ɨ
にんめい	ɲ ĩ m e
ついき	t͡s ɨ i kʲ i
さくや	s a k ɯ j a
えり	e ɾʲ i
えんざんぞうふくき	ẽ n d͡z ã n d͡z o ɸ ɯ k ɯ kʲ i
グルーオン	ɡ ɯ ɾ ɯ õ ɴ
えんちょく	ẽ ɲ t͡ɕ o k ɯ
めいじん	m e ʑ ĩ ɴ
おくまんちょうじゃ	o k ɯ m ã ɲ t͡ɕ o ʑ a
りんりがく	ɾʲ ĩ n ɾʲ i ɡ a k ɯ
ききかえす	kʲ i kʲ i k a e s ɨ
あかぐろい	a k a ɡ ɯ ɾ o i
こうえん	k o ẽ ɴ
しょうかんじゅう	ɕ o k ã ɲ d͡ʑ ɨ
プレーヤー	p ɯ ɾ e j a
かんかいん	k ã ŋ k a ĩ ɴ
ひえきる	ç i e kʲ i ɾ ɯ
キム	kʲ i m ɯ
すいけん	s ɨ i k ẽ ɴ
フラノ	ɸ ɯ ɾ a n o
ふるえる	ɸ ɯ ɾ ɯ e ɾ ɯ
ひら	ç i ɾ a
コンサート	k õ ɰ s a t o
こくさん	k o k ɯ s ã ɴ
エスカルゴ	e s ɨ k a ɾ ɯ ɡ o
みつかる	mʲ i t͡s ɨ k a ɾ ɯ
おんどけい	õ n d o k e
はみがきこ	h a mʲ i ɡ a kʲ i k o
うまれかわり	ɯ m a ɾ e k a ɰ a ɾʲ i
ショート	ɕ o t o
カピタン	k a pʲ i t ã ɴ
しゃしゅ	ɕ a ɕ ɨ
アシル	a ɕ i ɾ ɯ
ついし	t͡s ɨ i ɕ i
ふそく	ɸ ɯ s o k ɯ
ちょしゃ	t͡ɕ o ɕ a
ぎきょうだい	ɡʲ i kʲ o d a i
ジェラート	d͡ʑ e ɾ a t o
せいしんりょうほう	s e ɕ ĩ n ɾʲ o h o
ひらち	ç i ɾ a t͡ɕ i
ひまん	ç i m ã ɴ
テル	t e ɾ ɯ
すいり	s ɨ i ɾʲ i
そくや	s o k ɯ j a
ともざ	t o m o z a
カチューシャ	k a t͡ɕ ɨ ɕ a
こういち	k o i t͡ɕ i
くうぐんきち	k ɯ ɡ ɯ ŋ ʲkʲ i t͡ɕ i
ふじみ	ɸ ɯ ʑ i mʲ i
ケイ	k e
じょうほうかがく	d͡ʑ o h o k a ɡ a k ɯ
さやとり	s a j a t o ɾʲ i
アポストロフィ	a p o s ɨ t o ɾ o ɸʲ i
あかはら	a k a h a ɾ a
たとえば	t a t o e b a
えいこく	e k o k ɯ
わんせい	ɰ ã ɰ s e
のりかえる	n o ɾʲ i k a e ɾ ɯ
かたちづくる	k a t a t͡ɕ i z ɨ k ɯ ɾ ɯ
イルミ	i ɾ ɯ mʲ i
ほどとおい	h o d o t o i
とうはいごう	t o h a i ɡ o
ちゅういんふごう	t͡ɕ ɨ ĩ ɰ ɸ ɯ ɡ o
シートベルト	ɕ i t o b e ɾ ɯ t o
はくじゃく	h a k ɯ ʑ a k ɯ
にゅうきょ	ɲ ɯ kʲ o
どうぞう	d o z o
ゆうせいがく	j ɯ s e ɡ a k ɯ
ときめき	t o kʲ i m e kʲ i
かおみしり	k a o mʲ i ɕ i ɾʲ i
しかん	ɕ i k ã ɴ
せっとく	s e t̚ t o k ɯ
ブルガリア	b ɯ ɾ ɯ ɡ a ɾʲ i a
おだやか	o d a j a k a
ねっけつ	n e k̚ k e t͡s ɨ
フラザン	ɸ ɯ ɾ a z ã ɴ
はいえき	h a i e kʲ i
けんこうしんだん	k ẽ ŋ k o ɕ ĩ n d ã ɴ
しせん	ɕ i s ẽ ɴ
おぎなう	o ɡʲ i n a ɯ
もんぜんばらい	m õ n d͡z ẽ m b a ɾ a i
まさたか	m a s a t a k a
のびる	n o bʲ i ɾ ɯ
まんじょういっち	m ã ɲ d͡ʑ o i t̚ t͡ɕ i
なげなわ	n a ɡ e n a ɰ a
がんめん	ɡ ã m ẽ ɴ
そくとうよう	s o k ɯ t o j o
せき	s e kʲ i
あがりおり	a ɡ a ɾʲ i o ɾʲ i
せいかんたい	s e k ã n t a i
はむ	h a m ɯ
まっか	m a k̚ k a
ういご	ɯ i ɡ o
りきたけ	ɾʲ i kʲ i t a k e
とびたつ	t o bʲ i t a t͡s ɨ
いたずらずき	i t a z ɨ ɾ a z ɨ kʲ i
はしだ	h a ɕ i d a
かいしゅうりつ	k a i ɕ ɨ ɾʲ i t͡s ɨ
けんてい	k ẽ n t e
ブレーン	b ɯ ɾ ẽ ɴ
はまべ	h a m a b e
ようこ	j o k o
りっとう	ɾʲ i t̚ t o
ふかのう	ɸ ɯ k a n o
こううつざい	k o ɯ t͡s ɨ z a i
ターキー	t a kʲ i
げんしりょくせん	ɡ ẽ ɰ ɕ i ɾʲ o k ɯ s ẽ ɴ
サプリ	s a p ɯ ɾʲ i
たもん	t a m õ ɴ
くるわ	k ɯ ɾ ɯ ɰ a
キャンディーバー	kʲ ã n dʲ i b a
シュレッダー	ɕ ɨ ɾ e d̚ d a
かくうん	k a k ɯ ɯ ɴ
しずおかけん	ɕ i z ɨ o k a k ẽ ɴ
やせん	j a s ẽ ɴ
イケメンボイス	i k e m ẽ m b o i s ɨ
ぞうけつ	d͡z o k e t͡s ɨ
てづくり	t e z ɨ k ɯ ɾʲ i
ハードカバー	h a d o k a b a
でぶせん	d e b ɯ s ẽ ɴ
おおわくだに	o ɰ a k ɯ d a ɲ i
ふつ	ɸ ɯ t͡s ɨ
かぐら	k a ɡ ɯ ɾ a
きぞう	kʲ i z o
たんか	t ã ŋ k a
フェルミオン	ɸ e ɾ ɯ mʲ i õ ɴ
べいごま	b e ɡ o m a
しんけん	ɕ ĩ ŋ k ẽ ɴ
かぐらざか	k a ɡ ɯ ɾ a z a k a
メアド	m e a d o
さえわたる	s a e ɰ a t a ɾ ɯ
ちっこい	t͡ɕ i k̚ k o i
ステッキ	s ɨ t e k̚ʲ kʲ i
てかき	t e k a kʲ i
ぬかにくぎ	n ɯ k a ɲ i k ɯ ɡʲ i
おとる	o t o ɾ ɯ
えきちょう	e kʲ i t͡ɕ o
うきぐも	ɯ kʲ i ɡ ɯ m o
げんじ	ɡ ẽ ɲ d͡ʑ i
ジェイアール	d͡ʑ e a ɾ ɯ
ストレッチ	s ɨ t o ɾ e t̚ t͡ɕ i
ブラウザクラッシャー	b ɯ ɾ a ɯ z a k ɯ ɾ a ɕ a
あせくさい	a s e k ɯ s a i
ぴったり	pʲ i t̚ t a ɾʲ i
あいじ	a i ʑ i
でばん	d e b ã ɴ
なぞ	n a z o
サングリア	s ã ŋ ɡ ɯ ɾʲ i a
ポンチ	p õ ɲ t͡ɕ i
メモリー	m e m o ɾʲ i
ざんしょ	d͡z ã ɰ ɕ o
こんきょ	k õ ŋʲ kʲ o
プロレタリア	p ɯ ɾ o ɾ e t a ɾʲ i a
ぞうふくき	d͡z o ɸ ɯ k ɯ kʲ i
けいさく	k e s a k ɯ
あのかた	a n o k a t a
リフレッシュ	ɾʲ i ɸ ɯ ɾ e ɕ ɯ
あそん	a s õ ɴ
はなす	h a n a s ɨ
はりがみ	h a ɾʲ i ɡ a mʲ i
いちようぶんぷ	i t͡ɕ i j o b ɯ m p ɯ
よしきり	j o ɕ i kʲ i ɾʲ i
へんし	h ẽ ɰ ɕ i
かいめつ	k a i m e t͡s ɨ
のりき	n o ɾʲ i kʲ i
おおいぬざ	o i n ɯ z a
れんぼ	ɾ ẽ m b o
おんきょう	õ ŋʲ kʲ o
ひょうじゅんしゅつりょく	ç o ʑ ɨ ɰ ɕ ɨ t͡s ɨ ɾʲ o k ɯ
アドベ	a d o b e
えいりょく	e ɾʲ o k ɯ
マニフェスト	m a ɲ i ɸ e s ɨ t o
さしみぼうちょう	s a ɕ i mʲ i b o t͡ɕ o
おむつ	o m ɯ t͡s ɨ
せいほう	s e h o
どそく	d o s o k ɯ
もくひけん	m o k ɯ ç i k ẽ ɴ
マセル	m a s e ɾ ɯ
はやのみこみ	h a j a n o mʲ i k o mʲ i
おでかけ	o d e k a k e
かぐや	k a ɡ ɯ j a
サファリ	s a ɸ a ɾʲ i
せんぼく	s ẽ ɴ b o k ɯ
ゼータ	d͡z e t a
けいまい	k e m a i
にくこう	ɲ i k ɯ k o
ゆかり	j ɯ k a ɾʲ i
こうそう	k o s o
くとう	k ɯ t o
おんなのひと	õ n a n o ç i t o
いやしけい	i j a ɕ i k e
かしわ	k a ɕ i ɰ a
ほくと	h o k ɯ t o
ジー	d͡ʑ i
ごりん	ɡ o ɾʲ ĩ ɴ
アイス	a i s ɨ
よは	j o h a
そみんしょうい	s o mʲ ĩ ɰ ɕ o i
じょうしゅうはん	d͡ʑ o ɕ ɨ h ã ɴ
はつれい	h a t͡s ɨ ɾ e
パトカー	p a t o k a
マジックペン	m a ʑ i k̚ k ɯ p ẽ ɴ
こくない	k o k ɯ n a i
じゅんたく	d͡ʑ ɨ n t a k ɯ
きねん	kʲ i n ẽ ɴ
ブカレスト	b ɯ k a ɾ e s ɨ t o
あざらし	a z a ɾ a ɕ i
イン	ĩ ɴ
すめばみやこ	s ɨ m e b a mʲ i j a k o
グアバ	ɡ ɯ a b a
ぎやく	ɡʲ i j a k ɯ
ずろく	d͡z ɨ ɾ o k ɯ
ロリ	ɾ o ɾʲ i
ぶどうせき	b ɯ d o s e kʲ i
じんこうげんご	d͡ʑ ĩ ŋ k o ɡ ẽ ŋ ɡ o
はれ	h a ɾ e
ゴール	ɡ o ɾ ɯ
けいつい	k e t͡s ɨ i
びとく	bʲ i t o k ɯ
くへんとうゆ	k ɯ h ẽ n t o j ɯ
アルジェリア	a ɾ ɯ ʑ e ɾʲ i a
ついやす	t͡s ɨ i j a s ɨ
つまむ	t͡s ɨ m ɯ
イスラム	i s ɨ ɾ a m ɯ
ハードウエア	h a d o ɯ e a
ほんるい	h õ n ɾ ɯ i
にくまん	ɲ i k ɯ m ã ɴ
ちゃく	t͡ɕ a k ɯ
ばいかい	b a i k a i
ちめいど	t͡ɕ i m e d o
トランスセクシャル	t o ɾ ã ɰ s ɨ s e k ɯ ɕ a ɾ ɯ
どろじあい	d o ɾ o ʑ i a i
とりかえ	t o ɾʲ i k a e
らくたん	ɾ a k ɯ t ã ɴ
なおと	n a o t o
さんようき	s ã ɰ j o kʲ i
みおろす	mʲ i o ɾ o s ɨ
くれなずむ	k ɯ ɾ e n a z ɨ m ɯ
かじゅう	k a ʑ ɨ
ていすう	t e s ɨ
かきゅうてき	k a kʲ ɨ t e kʲ i
カツ	k a t͡s ɨ
うかる	ɯ k a ɾ ɯ
ふかけつしぼうさん	ɸ ɯ k a k e t͡s ɨ ɕ i b o s ã ɴ
にしはんきゅう	ɲ i ɕ i h ã ŋʲ kʲ ɨ
ムルタン	m ɯ ɾ ɯ t ã ɴ
きのせい	kʲ i n o s e
パクチー	p a k ɯ t͡ɕ i
とうげんびょう	t o ɡ ẽ m bʲ o
きもち	kʲ i m o t͡ɕ i
さんかくす	s ã ŋ k a k ɯ s ɨ
うけつぐ	ɯ k e t͡s ɨ ɡ ɯ
できばえ	d e kʲ i b a e
こくすいてき	kʲ i h õ n t e kʲ i
いひん	i ç ĩ ɴ
しそつ	ɕ i s o t͡s ɨ
さくらふぶき	s a k ɯ ɾ a ɸ ɯ b ɯ kʲ i
けんこうしんさ	k ẽ ŋ k o ɕ ĩ ɰ s a
ほそっちい	h o s o t̚ t͡ɕ i
たいりくかんだんどうだん	t a i ɾʲ i k ɯ k ã n d ã n d o d ã ɴ
たちさる	t a t͡ɕ i s a ɾ ɯ
のりきる	n o ɾʲ i kʲ i ɾ ɯ
サラリーマン	s a ɾ a ɾʲ i m ã ɴ
やすひこ	j a s ɨ ç i k o
かぜはい	k a z e h a i
ヒール	ç i ɾ ɯ
てるお	t e ɾ ɯ o
またね	m a t a n e
たいぐう	t a i ɡ ɯ
かんげん	k ã ŋ ɡ ẽ ɴ
こうおつへいてい	k o o t͡s ɨ h e t e
おおみず	o mʲ i z ɨ
はっしん	h a ɕ ĩ ɴ
あまがみ	a m a ɡ a mʲ i
さんかく	s a n k a k u
ネガティブ	n e ɡ a tʲ i b ɯ
どこ	d o k o
もお	m o o
ゆうりしぼうさん	j ɯ ɾʲ i ɕ i b o s ã ɴ
めまい	m e m a i
じきゅうりょく	d͡ʑ i kʲ ɨ ɾʲ o k ɯ
きかくか	kʲ i k a k ɯ k a
ちょうり	t͡ɕ o ɾʲ i
ねんない	n ẽ n a i
りそうしゅぎ	ɾʲ i s o ɕ ɨ ɡʲ i
マスキングテープ	m a s ɨ kʲ ĩ ŋ ɡ ɯ t e p ɯ
おくりだす	o k ɯ ɾʲ i d a s ɨ
どうきゅう	d o kʲ ɨ
たっしゃ	t a ɕ a
リ	ɾʲ i
まんしゅうご	m ã ɰ ɕ ɨ ɡ o
だれも	d a ɾ e m o
えきべん	e kʲ i b ẽ ɴ
マッド	m a d̚ d o
しょじにん	ɕ o ʑ i ɲ ĩ ɴ
かんしょ	k ã ɰ ɕ o
あたたか	a t a t a k a
かこきゅう	k a k o kʲ ɨ
じょうとうく	d͡ʑ o t o k ɯ
ざんこく	d͡z ã ŋ k o k ɯ
へんせつ	h ẽ ɰ s e t͡s ɨ
しみこむ	ɕ i mʲ i k o m ɯ
さき	s a kʲ i
ペシミズム	p e ɕ i mʲ i z ɨ m ɯ
あんごうつうか	ã ŋ ɡ o t͡s ɨ k a
さいおう	s a i o
こぼね	k o b o n e
ました	m a ɕ i t a
おもいつく	o m o i t͡s ɨ k ɯ
ベルベット	b e ɾ ɯ b e t̚ t o
とっき	t o k̚ʲ kʲ i
まさや	m a s a j a
しもおし	ɕ i m o o ɕ i
りっぽうしゃ	ɾʲ i p̚ p o ɕ a
せいもん	s e m õ ɴ
ふゆうそう	ɸ ɯ j ɯ s o
みちびく	mʲ i t͡ɕ i bʲ i k ɯ
ご	ɡ o
じぜん	d͡ʑ i z ẽ ɴ
かげぼうし	k a ɡ e b o ɕ i
ぴ	pʲ i
そうぞうしい	s o z o ɕ i i
こんらん	k õ n ɾ ã ɴ
なんでも	n ã n d e m o
きゅうかくきかん	kʲ ɨ k a k ɯ kʲ i k ã ɴ
ぼくそうち	b o k ɯ s o t͡ɕ i
アルバイト	a ɾ ɯ b a i t o
なつめ	n a t͡s ɨ m e
げんきん	ɡ ẽ ŋʲ kʲ ĩ ɴ
オルト	o ɾ ɯ t o
エックス	e k̚ k ɯ s ɨ
つとめて	t͡s ɨ t o m e t e
わせいかんご	ɰ a s e k ã ŋ ɡ o
どんりょく	d õ n ɾʲ o k ɯ
ぐんばいがあがる	ɡ ɯ m b a i ɡ a a ɡ a ɾ ɯ
こうくうびん	k o k ɯ bʲ ĩ ɴ
ぎんがだん	ɡʲ ĩ ŋ ɡ a d ã ɴ
クラミジア	k ɯ ɾ a mʲ i ʑ i a
ほんらい	h õ n ɾ a i
えんこん	ẽ ŋ k õ ɴ
きょすうたんい	kʲ o s ɨ t ã ɰ i
みずぐも	mʲ i z ɨ ɡ ɯ m o
よみあげる	j o mʲ i a ɡ e ɾ ɯ
かんげき	k ã ŋ ɡ e kʲ i
はいすいこう	h a i s ɨ i k o
おおかばまだら	o k a b a m a d a ɾ a
ミャ	mʲ a
もうかる	m o k a ɾ ɯ
かんぼつ	k ã m b o t͡s ɨ
やけあと	j a k e a t o
あんぽんたん	ã m p õ n t ã ɴ
ほうむる	h o m ɯ ɾ ɯ
けいすけ	k e s ɨ k e
モンスター	m õ ɰ s ɨ t a
ひだり	ç i d a ɾʲ i
ようぐ	j o ɡ ɯ
だんやく	d ã ɰ j a k ɯ
ゆうふく	j ɯ ɸ ɯ k ɯ
